Attribute,Mongodb,Postgres,Neo4jQuery,aggregate,aggregate,aggregate
DateTime,2021-05-15 21:55:02.016908,2021-05-15 21:55:02.495057,2021-05-15 21:55:02.661387
ExecTime in ms,245.7790,15.2360,182.7810
Memory_Used in %,1.1247,1.1496,1.2106
Cpu_Used in %,0.0000,0.0000,0.0000
Query,singleWrite,singleWrite,singleWrite
DateTime,2021-05-15 21:55:01.234440,2021-05-15 21:55:02.256219,2021-05-15 21:55:02.450963
ExecTime in ms,228.7450,17.2930,382.0530
Memory_Used in %,1.1244,1.1866,1.1866
Cpu_Used in %,0.0000,0.0000,0.0000
Query,neighbors,neighbors,neighbors
DateTime,2021-05-15 21:55:01.915960,2021-05-15 21:55:05.647412,2021-05-15 21:55:06.033631
ExecTime in ms,3.0130,17.1260,957.4940
Memory_Used in %,1.1238,1.5471,1.5471
Cpu_Used in %,0.0000,0.0000,0.0000
Query,neighbors2data,neighbors2data,neighbors2data
DateTime,2021-05-15 21:55:00.950378,2021-05-15 21:55:05.081044,2021-05-15 21:55:05.381612
ExecTime in ms,30.4260,28.6840,1585.5690
Memory_Used in %,1.1445,1.5774,1.5774
Cpu_Used in %,0.0000,0.0000,0.0000
Query,neighbors2,neighbors2,neighbors2
DateTime,2021-05-15 21:55:02.328183,2021-05-15 21:55:06.818552,2021-05-15 21:55:07.158821
ExecTime in ms,66.8540,15.9580,409.3830
Memory_Used in %,1.1651,1.5404,1.6004
Cpu_Used in %,0.0000,0.0000,0.0000
Query,shortestPath,shortestPath,shortestPath
DateTime,,,2021-05-15 21:55:03.434712
ExecTime in ms,,,1114.5140
Memory_Used in %,,,1.1245
Cpu_Used in %,,,0.0000
Query,singleRead,singleRead,singleRead
DateTime,2021-05-15 21:55:03.622139,2021-05-15 21:55:04.159438,2021-05-15 21:55:07.271192
ExecTime in ms,106.7980,3.5100,1243.8290
Memory_Used in %,1.1251,1.1403,1.5568
Cpu_Used in %,0.0000,0.0000,0.0000
